1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX 3C 3D 3E XX
4A XX 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D XX 7F
XX 8B 8C XX 8E 8F
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
XX 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX 14C XX 14E 14F
15A 15B 15C 15D 15E 15F
XX 16B XX 16D 16E XX
17A 17B 17C 17D 17E 17F
XX XX 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B XX 20D 20E XX
21A 21B XX 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B XX 23D 23E XX
XX XX 24C 24D 24E 24F
25A XX 25C 25D 25E 25F
26A 26B 26C 26D 26E XX
27A XX 27C 27D XX 27F
28A 28B 28C XX 28E 28F
29A 29B 29C 29D 29E 29F
30A XX XX 30D 30E XX
