XX 1 B XX XX 1 E 1 F 
2 A XX 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A XX 5 C 5 D 5 E XX 
6 A 6 B 6 C XX 6 E 6 F 
7 A 7 B 7 C XX 7 E 7 F 
XX 8 B 8 C XX 8 E 8 F 
9 A 9 B XX 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B XX 16D XX 16F 
17A 17B 17C 17D 17E 17F 
XX 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
XX 20B 20C 20D XX 20F 
21A 21B 21C XX XX 21F 
22A XX 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C XX 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B XX XX 26E 26F 
27A 27B 27C XX 27E 27F 
28A XX 28C 28D 28E 28F 
XX 29B 29C XX 29E 29F 
XX 30B 30C 30D 30E 30F 
