1A 1B 1C 1D 1E 1F
XX 2B XX 2D 2E 2F
3A XX 3C 3D 3E 3F
4A 4B 4C XX XX 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A XX 8C 8D XX XX
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C XX XX XX
15A 15B 15C 15D XX 15F
16A 16B 16C 16D XX 16F
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E XX
19A XX 19C 19D 19E 19F
XX 20B XX 20D 20E 20F
XX 21B 21C XX 21E 21F
22A 22B 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E XX
26A 26B 26C XX 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D XX 30F
