1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A XX 4C 4D 4E XX
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
7A XX 7C 7D 7E XX
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
XX 11B XX 11D 11E 11F
12A 12B 12C 12D XX 12F
13A 13B XX 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A XX 15C 15D 15E XX
16A 16B XX 16D XX 16F
17A 17B XX 17D 17E 17F
18A 18B 18C 18D 18E 18F
XX 19B 19C 19D XX 19F
20A 20B XX 20D XX 20F
21A 21B 21C 21D 21E 21F
XX XX 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
XX 27B 27C 27D 27E 27F
28A XX 28C 28D 28E 28F
XX 29B XX 29D 29E 29F
30A 30B 30C XX 30E XX
