1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B XX 4D XX 4F
XX 5B 5C 5D 5E 5F
XX 6B XX 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E XX
9A 9B 9C XX 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX XX 12F
XX 13B 13C XX XX 13F
14A XX 14C XX XX 14F
15A 15B 15C XX 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B XX 18D 18E XX
XX 19B 19C XX 19E XX
XX 20B 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
XX 24B 24C 24D XX 24F
25A XX 25C 25D XX 25F
26A 26B 26C 26D 26E XX
27A XX 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
29A 29B 29C 29D 29E 29F
XX 30B 30C XX 30E 30F
