1 A 1 B 1 C XX 1 E 1 F 
2 A 2 B XX 2 D 2 E XX 
3 A 3 B 3 C XX 3 E XX 
4 A 4 B XX XX 4 E 4 F 
XX XX 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E XX 
7 A 7 B 7 C 7 D 7 E 7 F 
XX XX 8 C 8 D XX 8 F 
9 A 9 B XX 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E 11F 
12A 12B 12C 12D 12E 12F 
XX XX 13C 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
15A XX 15C 15D 15E 15F 
16A 16B 16C 16D 16E XX 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D XX 18F 
19A 19B 19C 19D XX 19F 
20A 20B 20C 20D 20E XX 
21A 21B 21C 21D 21E 21F 
XX 22B 22C 22D 22E 22F 
23A 23B 23C XX 23E XX 
24A 24B 24C 24D 24E XX 
25A 25B 25C 25D 25E 25F 
XX 26B 26C XX 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B XX XX 28E XX 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D XX 30F 
