1A 1B 1C 1D 1E 1F
2A 2B XX XX 2E 2F
3A 3B XX 3D XX 3F
4A XX 4C 4D 4E 4F
XX 5B 5C XX XX 5F
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A XX XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C XX XX 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D XX 13F
14A 14B 14C 14D 14E XX
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
XX 20B 20C 20D XX XX
21A 21B XX 21D 21E XX
22A 22B 22C XX XX 22F
XX XX 23C 23D 23E 23F
24A 24B 24C XX XX XX
XX 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C XX 27E 27F
XX 28B 28C 28D 28E 28F
29A 29B XX 29D 29E 29F
XX 30B 30C 30D 30E XX
