1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B XX 2 D 2 E XX 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B XX 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D XX 6 F 
7 A 7 B 7 C XX 7 E XX 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
XX XX 11C XX 11E XX 
XX 12B 12C 12D 12E 12F 
13A 13B 13C 13D XX XX 
XX 14B 14C 14D 14E 14F 
15A 15B 15C 15D 15E XX 
16A 16B 16C XX XX 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
XX 20B 20C 20D 20E XX 
21A 21B 21C XX 21E 21F 
22A 22B 22C 22D 22E XX 
23A 23B 23C XX 23E 23F 
24A 24B 24C 24D 24E XX 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A XX 27C 27D XX 27F 
28A 28B 28C 28D 28E 28F 
29A XX 29C 29D XX 29F 
30A 30B 30C 30D XX 30F 
