1A 1B 1C 1D 1E 1F
2A 2B XX XX 2E XX
3A 3B XX XX 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D XX 5F
6A 6B XX 6D 6E XX
7A 7B 7C 7D 7E 7F
XX 8B 8C 8D 8E 8F
9A 9B XX 9D 9E XX
10A 10B 10C 10D 10E XX
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C XX XX XX
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C XX 16E 16F
17A XX 17C 17D XX 17F
18A 18B 18C 18D 18E 18F
XX 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A XX 21C 21D XX 21F
22A 22B XX 22D 22E 22F
23A 23B 23C 23D 23E 23F
XX 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B XX XX 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E XX
30A 30B 30C 30D 30E 30F
