1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E XX 
3 A 3 B 3 C XX 3 E XX 
4 A 4 B 4 C 4 D XX 4 F 
5 A 5 B XX 5 D 5 E XX 
6 A 6 B 6 C 6 D XX XX 
7 A XX 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
XX 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
XX 13B 13C 13D 13E XX 
14A 14B 14C XX 14E 14F 
15A 15B 15C 15D 15E 15F 
XX 16B 16C XX 16E 16F 
17A 17B 17C XX 17E 17F 
18A 18B 18C 18D 18E 18F 
XX 19B XX 19D 19E 19F 
XX 20B 20C 20D 20E 20F 
21A XX 21C XX 21E XX 
22A 22B 22C 22D 22E 22F 
XX 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E XX 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
