1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B XX 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A XX 8C 8D 8E 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D 10E XX
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
XX 13B XX 13D XX XX
XX 14B 14C 14D 14E XX
15A XX XX XX 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C XX 18E XX
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C XX XX XX
22A XX 22C 22D 22E 22F
23A 23B 23C 23D 23E XX
24A XX 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
XX 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
30A XX XX 30D 30E 30F
