1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
XX XX 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
XX 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C XX XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E XX
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
XX 17B 17C XX 17E 17F
18A XX 18C 18D XX 18F
19A 19B XX 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C 24D XX 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E XX
28A 28B 28C 28D 28E 28F
29A XX 29C 29D 29E 29F
XX XX 30C 30D 30E 30F
