1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
XX 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D XX 6F
7A XX 7C XX 7E 7F
8A XX 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C XX 10E 10F
11A 11B 11C 11D 11E XX
XX 12B 12C 12D 12E 12F
XX 13B 13C 13D 13E XX
14A 14B XX 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B XX XX 17E 17F
18A 18B 18C 18D 18E XX
19A 19B XX 19D 19E XX
20A 20B 20C 20D 20E XX
21A XX 21C 21D 21E XX
XX 22B 22C 22D XX 22F
23A 23B 23C XX 23E 23F
24A XX 24C 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B 26C XX 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C 30D 30E 30F
