1 A XX 1 C 1 D 1 E 1 F 
2 A XX 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D XX 4 F 
5 A 5 B 5 C XX 5 E 5 F 
6 A 6 B 6 C 6 D 6 E XX 
XX 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B XX XX 9 E 9 F 
10A 10B 10C 10D 10E XX 
11A XX 11C 11D 11E 11F 
12A XX 12C 12D 12E 12F 
13A 13B XX 13D 13E 13F 
XX 14B 14C 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B XX 18D 18E 18F 
XX 19B 19C 19D 19E 19F 
XX XX 20C 20D 20E 20F 
XX 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C XX XX 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C XX XX 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
