1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E XX
XX XX 3C 3D XX 3F
4A XX XX 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
XX 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A XX 9C 9D 9E 9F
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX XX 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B XX 15D XX 15F
16A 16B 16C 16D 16E 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
XX 21B 21C 21D 21E 21F
22A XX 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C XX 24E XX
XX XX 25C XX 25E 25F
26A 26B XX 26D 26E 26F
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
30A 30B 30C 30D 30E 30F
