1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
XX 3B XX 3D 3E 3F
XX 4B 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D XX XX
XX XX 9C 9D 9E XX
10A 10B 10C 10D 10E 10F
11A XX 11C 11D XX 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B 15C XX 15E XX
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
XX 19B 19C 19D 19E 19F
XX 20B 20C 20D XX 20F
XX XX 21C XX 21E 21F
22A 22B XX XX 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX XX XX 24F
25A 25B 25C 25D 25E 25F
XX XX 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
