1A 1B 1C 1D 1E 1F 
2A 2B 2C XX 2E 2F 
3A 3B 3C XX 3E XX 
4A 4B 4C 4D XX 4F 
5A XX 5C 5D 5E 5F 
XX 6B 6C 6D 6E 6F 
7A 7B XX XX 7E 7F 
8A 8B 8C 8D 8E 8F 
XX XX 9C 9D 9E XX 
10A 10B 10C 10D 10E 10F 
11A 11B XX XX 11E 11F 
12A 12B 12C XX 12E XX 
13A 13B 13C XX 13E 13F 
14A 14B 14C 14D 14E XX 
15A 15B 15C 15D 15E 15F 
XX 16B 16C 16D 16E 16F 
XX 17B XX 17D 17E 17F 
18A 18B XX XX 18E 18F 
19A 19B XX 19D 19E 19F 
XX XX 20C 20D 20E 20F 
XX XX 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A XX 24C 24D XX 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D XX 27F 
28A 28B 28C 28D 28E 28F 
29A 29B XX 29D XX 29F 
30A 30B 30C XX 30E 30F 
