1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A XX 3C 3D 3E 3F
XX 4B 4C 4D 4E 4F
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C XX 9E XX
10A 10B 10C 10D 10E XX
XX 11B 11C 11D 11E 11F
XX XX 12C 12D XX 12F
13A 13B 13C XX 13E 13F
14A XX 14C 14D XX 14F
15A 15B 15C XX 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B XX 17D 17E 17F
18A XX 18C 18D XX 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D XX 21F
XX 22B XX 22D 22E XX
23A 23B XX 23D 23E 23F
24A 24B XX 24D 24E XX
25A 25B XX 25D 25E 25F
26A 26B 26C XX 26E XX
27A 27B 27C 27D 27E XX
28A 28B XX 28D XX XX
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D 30E 30F
