1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX XX 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A 8B 8C 8D XX 8F
9A 9B 9C 9D 9E XX
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
XX 12B XX XX 12E 12F
13A 13B 13C 13D 13E XX
14A 14B 14C 14D 14E 14F
15A 15B 15C XX XX 15F
16A 16B 16C 16D XX 16F
17A 17B XX 17D 17E 17F
18A 18B XX 18D XX 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D XX 20F
21A 21B 21C 21D 21E 21F
22A 22B XX 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B XX XX XX 25F
26A 26B 26C XX 26E 26F
27A 27B 27C XX 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
