1 A 1 B 1 C 1 D XX 1 F 
2 A 2 B 2 C XX 2 E 2 F 
3 A 3 B XX 3 D 3 E 3 F 
4 A XX 4 C XX 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B 6 C XX 6 E 6 F 
7 A 7 B 7 C XX 7 E 7 F 
8 A XX 8 C 8 D 8 E 8 F 
9 A 9 B XX XX 9 E 9 F 
10A 10B 10C 10D 10E 10F 
XX 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D XX 13F 
14A 14B 14C 14D 14E 14F 
XX 15B 15C 15D 15E 15F 
16A 16B 16C XX 16E 16F 
17A 17B 17C 17D XX XX 
18A 18B XX 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A 20B 20C 20D 20E 20F 
XX XX 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C XX 23E 23F 
24A 24B 24C 24D XX XX 
25A 25B 25C 25D XX 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A XX 29C 29D 29E 29F 
30A 30B 30C 30D 30E XX 
