1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C 3D 3E 3F
4A XX 4C 4D 4E XX
5A XX XX 5D 5E 5F
6A 6B 6C 6D 6E 6F
XX 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX 12E XX
13A 13B 13C 13D 13E 13F
14A 14B XX 14D 14E 14F
15A XX 15C XX 15E 15F
16A 16B XX 16D 16E 16F
17A XX 17C 17D 17E XX
18A XX 18C 18D 18E 18F
19A 19B 19C 19D XX 19F
20A 20B 20C 20D 20E XX
21A 21B 21C 21D XX 21F
22A 22B 22C 22D 22E 22F
23A 23B XX 23D 23E 23F
24A 24B XX 24D 24E XX
25A 25B XX XX 25E 25F
26A 26B 26C 26D 26E 26F
XX 27B 27C 27D XX 27F
XX 28B 28C 28D 28E XX
29A XX 29C 29D 29E 29F
30A 30B 30C 30D 30E XX
