1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX XX 3D 3E 3F
XX 4B 4C XX 4E XX
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C XX 16E 16F
17A 17B 17C XX 17E 17F
18A 18B 18C 18D 18E XX
19A 19B 19C XX 19E 19F
20A XX 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B XX 26D 26E XX
XX 27B 27C 27D 27E XX
28A 28B 28C 28D 28E 28F
XX 29B 29C 29D XX 29F
30A 30B 30C 30D 30E 30F
