XX 1 B 1 C XX 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A XX XX 4 D 4 E 4 F 
5 A 5 B XX 5 D XX 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
XX XX 7 C 7 D 7 E XX 
8 A 8 B 8 C 8 D XX 8 F 
9 A 9 B 9 C XX 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A XX 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
XX 15B 15C 15D 15E 15F 
16A 16B XX 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B XX 18D 18E 18F 
XX 19B 19C 19D 19E 19F 
XX 20B 20C 20D 20E XX 
21A 21B 21C 21D 21E 21F 
XX 22B 22C 22D XX XX 
23A 23B XX 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
XX XX 25C 25D XX 25F 
26A XX 26C 26D 26E 26F 
27A XX XX 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
