1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX XX 3D XX 3F
4A XX 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A 8B XX 8D XX 8F
XX 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C XX 11E XX
XX 12B 12C 12D 12E XX
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
16A 16B XX 16D 16E 16F
17A 17B XX 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A XX 22C 22D 22E 22F
23A 23B XX XX 23E 23F
24A 24B 24C 24D XX 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D 26E 26F
27A XX 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
