1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C XX 3E 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D 5E 5F
6A 6B XX 6D 6E 6F
7A 7B 7C 7D XX 7F
8A 8B 8C 8D 8E XX
9A 9B 9C XX XX 9F
10A 10B 10C 10D 10E XX
11A 11B 11C 11D 11E XX
XX 12B 12C 12D 12E XX
13A 13B 13C 13D 13E XX
14A 14B 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C XX 17E 17F
18A XX 18C 18D 18E XX
19A 19B 19C XX 19E XX
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B XX 22D 22E 22F
XX 23B 23C 23D XX 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E XX
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E XX
30A 30B 30C 30D 30E 30F
