1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
6A 6B XX 6D 6E XX
7A 7B 7C 7D XX 7F
8A 8B 8C 8D 8E 8F
XX XX XX XX 9E 9F
XX XX XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B XX 15D XX 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C XX 17E XX
18A 18B 18C 18D XX 18F
19A 19B 19C 19D XX 19F
20A 20B XX 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D XX 23F
24A XX 24C 24D 24E 24F
25A XX 25C 25D 25E XX
26A 26B 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E XX
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
