1 A 1 B 1 C XX 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A XX 3 C 3 D 3 E XX 
4 A 4 B XX 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B XX 7 D XX 7 F 
8 A XX XX XX 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX XX 11F 
12A 12B 12C 12D XX 12F 
13A 13B 13C 13D 13E XX 
14A 14B 14C 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A XX 18C 18D 18E XX 
XX 19B XX 19D 19E 19F 
20A 20B 20C 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
22A 22B 22C XX 22E 22F 
23A 23B 23C XX 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
XX 26B 26C 26D 26E XX 
27A XX 27C 27D 27E 27F 
28A XX 28C XX 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
