1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
XX 3B XX 3D 3E 3F
4A 4B 4C 4D XX 4F
5A XX 5C 5D 5E XX
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A 8B 8C XX 8E XX
XX 9B XX 9D 9E XX
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D XX 11F
12A XX 12C XX 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E 16F
XX 17B XX 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX 19C 19D XX 19F
XX 20B XX 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
23A 23B 23C 23D XX 23F
24A 24B 24C 24D 24E 24F
25A XX XX 25D 25E 25F
26A 26B 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D 28E XX
29A XX 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
