1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D XX XX 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C XX 4 E 4 F 
5 A 5 B 5 C XX 5 E 5 F 
6 A 6 B XX 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E XX 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B XX 12D 12E 12F 
13A XX 13C XX 13E 13F 
XX 14B 14C 14D 14E XX 
15A 15B 15C XX 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B XX 19D 19E XX 
20A XX 20C 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
22A 22B 22C 22D XX XX 
23A 23B 23C 23D 23E XX 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A XX 26C 26D 26E XX 
27A 27B 27C XX 27E 27F 
XX 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E XX 
30A 30B 30C 30D 30E 30F 
