1A 1B 1C 1D 1E 1F
2A XX 2C XX 2E XX
3A XX 3C 3D 3E XX
4A XX XX 4D 4E 4F
XX 5B 5C 5D XX 5F
6A 6B 6C XX 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D XX XX
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E XX
13A XX XX XX 13E 13F
14A 14B 14C 14D 14E 14F
15A XX 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C XX 17E 17F
XX 18B XX 18D XX 18F
19A XX 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C XX 22E 22F
XX 23B 23C 23D 23E XX
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D 26E XX
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
