1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B XX 3D 3E 3F
XX 4B 4C 4D 4E XX
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX XX XX 7E 7F
8A 8B 8C 8D 8E 8F
9A XX 9C 9D XX 9F
XX 10B 10C 10D XX 10F
11A 11B XX 11D 11E 11F
12A 12B XX 12D 12E XX
XX XX 13C 13D XX 13F
XX 14B 14C 14D 14E XX
XX 15B 15C 15D 15E 15F
XX XX 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D XX 18F
19A 19B 19C 19D 19E XX
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D XX 21F
22A XX XX 22D 22E 22F
23A XX 23C 23D 23E XX
24A 24B 24C XX 24E 24F
25A 25B 25C XX 25E XX
XX 26B 26C XX 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
XX 29B 29C XX 29E 29F
30A XX XX 30D 30E 30F
