1A 1B 1C 1D 1E 1F
XX XX 2C 2D 2E 2F
3A 3B 3C XX XX 3F
4A XX XX 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C XX 8E XX
9A XX 9C 9D 9E XX
10A XX XX 10D XX 10F
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
14A 14B XX 14D 14E 14F
XX 15B 15C XX 15E 15F
16A 16B 16C 16D 16E 16F
17A XX XX 17D 17E 17F
18A 18B 18C 18D 18E XX
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A XX 21C 21D 21E 21F
22A XX 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D XX 24F
25A XX 25C 25D 25E 25F
26A XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E XX
XX 29B 29C 29D 29E 29F
XX 30B XX 30D 30E 30F
