1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A XX 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D XX XX
8A 8B 8C 8D 8E 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E XX
14A XX 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
16A XX XX 16D 16E 16F
XX 17B 17C 17D XX 17F
18A 18B 18C 18D XX XX
19A 19B 19C 19D 19E 19F
20A XX XX 20D 20E XX
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E XX
25A 25B 25C 25D XX 25F
26A 26B 26C XX 26E 26F
XX 27B 27C XX XX 27F
28A 28B 28C 28D 28E XX
XX 29B 29C XX 29E XX
30A 30B 30C XX 30E XX
