1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E XX
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
5A XX XX 5D 5E 5F
XX 6B 6C 6D 6E XX
XX 7B 7C XX 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A 13B XX 13D 13E 13F
XX 14B 14C 14D 14E XX
15A 15B 15C XX 15E XX
XX 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
XX 20B XX 20D XX 20F
21A 21B 21C XX XX XX
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D XX 24F
25A 25B 25C XX 25E 25F
26A 26B 26C 26D 26E 26F
XX 27B XX 27D 27E XX
28A XX 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
