1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C XX 3E 3F
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D XX XX
XX 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D XX 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E XX
19A XX 19C XX 19E 19F
20A 20B 20C 20D XX XX
21A 21B 21C 21D XX 21F
XX 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C XX 25E 25F
26A XX 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D XX 28F
XX 29B 29C 29D XX 29F
XX 30B 30C 30D 30E XX
