1A 1B 1C 1D 1E 1F
XX XX 2C 2D XX 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D 5E 5F
XX 6B 6C 6D 6E XX
XX 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B 13C XX 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B 18C XX 18E 18F
XX 19B 19C 19D 19E XX
20A XX 20C 20D XX XX
21A 21B 21C XX XX 21F
XX 22B XX 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A XX 27C XX 27E 27F
XX 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C 30D 30E XX
