1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX XX 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
XX 9B 9C 9D 9E XX
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E XX
14A 14B 14C XX 14E 14F
15A 15B XX XX XX 15F
XX 16B 16C 16D XX 16F
17A 17B XX 17D 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D XX 20F
XX 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E XX
XX 23B 23C 23D 23E 23F
XX 24B 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B 26C 26D 26E 26F
XX 27B 27C XX 27E XX
28A 28B 28C 28D 28E 28F
29A 29B XX 29D 29E 29F
XX 30B XX XX 30E 30F
