1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D XX 2 F 
3 A 3 B 3 C 3 D XX 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B XX 5 D 5 E 5 F 
XX XX 6 C 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A XX XX 8 D 8 E 8 F 
9 A XX 9 C XX 9 E XX 
10A 10B XX 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D XX 13F 
14A 14B 14C 14D XX 14F 
XX 15B 15C 15D XX 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E XX 
19A 19B 19C XX 19E 19F 
20A XX 20C 20D 20E XX 
21A 21B 21C XX 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A XX 24C 24D 24E 24F 
25A 25B 25C 25D XX XX 
26A 26B 26C 26D 26E 26F 
XX 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E XX 
29A 29B 29C 29D 29E 29F 
30A XX 30C 30D 30E 30F 
