1A 1B 1C 1D 1E 1F
XX XX 2C 2D 2E 2F
3A 3B 3C XX 3E 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D 5E 5F
XX 6B 6C 6D 6E 6F
7A 7B XX 7D 7E 7F
8A 8B 8C 8D 8E 8F
XX 9B 9C 9D XX 9F
10A 10B 10C XX 10E XX
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D XX 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C XX 15E XX
16A 16B 16C 16D XX 16F
17A 17B 17C 17D XX 17F
XX 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
XX XX 27C 27D 27E 27F
28A 28B 28C 28D 28E XX
29A 29B 29C 29D 29E XX
30A 30B 30C 30D XX XX
