1A 1B 1C 1D 1E 1F
XX XX 2C 2D 2E XX
3A 3B XX XX 3E 3F
4A XX 4C 4D 4E XX
5A 5B XX 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B XX 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A XX 13C XX 13E XX
14A 14B 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B XX 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
20A 20B 20C 20D XX XX
21A XX 21C 21D 21E 21F
22A 22B 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C XX 24E 24F
25A 25B XX 25D 25E XX
26A 26B 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A 28B XX XX 28E 28F
29A 29B 29C 29D 29E XX
30A 30B XX 30D 30E 30F
