1A 1B 1C 1D 1E 1F
XX 2B XX 2D XX 2F
3A 3B 3C 3D 3E XX
4A 4B XX 4D 4E 4F
5A 5B 5C 5D XX 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E XX
8A 8B 8C 8D 8E XX
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E XX
11A XX 11C XX 11E 11F
12A 12B 12C XX 12E 12F
13A 13B 13C XX 13E 13F
XX 14B 14C 14D 14E XX
15A 15B XX 15D 15E 15F
16A XX 16C 16D 16E 16F
17A 17B 17C 17D XX 17F
XX 18B 18C 18D 18E 18F
19A XX XX 19D 19E 19F
20A XX 20C 20D XX 20F
21A XX 21C 21D 21E 21F
22A 22B 22C 22D 22E XX
XX 23B 23C 23D 23E 23F
24A 24B 24C XX 24E 24F
25A 25B XX XX 25E 25F
26A 26B 26C 26D 26E 26F
XX XX 27C 27D 27E XX
XX 28B 28C 28D 28E XX
XX 29B 29C 29D 29E 29F
30A XX 30C 30D 30E 30F
