1A 1B 1C 1D 1E 1F
2A XX 2C XX 2E 2F
3A 3B XX 3D 3E XX
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D XX XX
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX XX XX XX 10E 10F
11A XX 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
XX XX XX 15D 15E 15F
16A 16B 16C 16D XX 16F
17A XX XX 17D 17E 17F
18A XX XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
XX 22B 22C 22D 22E 22F
23A XX 23C 23D XX 23F
24A XX 24C 24D 24E 24F
XX 25B XX 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A 29B 29C 29D XX 29F
30A 30B 30C 30D 30E 30F
