1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C XX XX 5F
XX 6B 6C 6D XX 6F
7A XX 7C XX 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX XX 12F
XX 13B 13C 13D 13E XX
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B 21C 21D XX XX
XX 22B 22C XX 22E 22F
23A 23B 23C 23D 23E XX
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A XX 26C 26D XX XX
27A 27B 27C XX 27E 27F
28A 28B 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
XX 30B XX 30D 30E 30F
