1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
XX 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B XX 7D 7E 7F
8A XX 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D 10E 10F
11A 11B 11C XX 11E 11F
12A 12B 12C XX 12E 12F
13A XX 13C 13D 13E 13F
14A 14B 14C XX 14E 14F
15A 15B XX 15D 15E 15F
16A 16B 16C 16D XX 16F
XX 17B XX 17D 17E 17F
18A 18B 18C 18D XX 18F
XX 19B 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B 21C XX 21E 21F
XX 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
XX 24B 24C 24D 24E 24F
25A 25B 25C XX 25E 25F
26A XX 26C XX 26E 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
