1A 1B 1C 1D 1E 1F
XX 2B XX 2D XX 2F
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A XX 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C XX 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D XX 12F
13A XX 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A XX 15C 15D XX 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
XX 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A XX 21C 21D 21E 21F
22A 22B XX 22D 22E 22F
23A 23B 23C 23D 23E XX
24A 24B 24C 24D XX 24F
XX 25B XX 25D XX 25F
26A 26B XX 26D 26E 26F
27A 27B 27C 27D 27E XX
28A 28B 28C 28D 28E XX
29A 29B XX 29D 29E XX
30A 30B 30C 30D 30E 30F
