1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
3A 3B XX 3D 3E 3F
XX 4B 4C 4D 4E 4F
XX 5B 5C 5D 5E 5F
6A XX 6C 6D 6E 6F
XX 7B XX XX 7E 7F
8A XX XX 8D 8E 8F
9A 9B XX 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B XX 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E XX
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D XX 16F
XX 17B 17C 17D XX 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
20A 20B 20C XX XX 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
24A 24B 24C 24D 24E XX
25A 25B 25C XX 25E 25F
XX 26B 26C XX XX XX
XX 27B 27C 27D 27E 27F
28A 28B 28C XX 28E XX
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
