1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
XX 3B 3C 3D 3E XX
4A 4B 4C 4D XX 4F
5A 5B 5C 5D XX 5F
6A 6B 6C 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E XX
XX 9B XX 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E XX
XX 12B 12C 12D 12E XX
13A 13B 13C 13D 13E 13F
14A XX XX 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C XX 20E XX
21A 21B 21C 21D 21E 21F
22A 22B 22C XX 22E 22F
XX 23B 23C 23D 23E XX
24A 24B 24C 24D XX XX
25A XX 25C 25D 25E XX
26A 26B 26C 26D XX 26F
27A XX 27C XX 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B XX 29D 29E 29F
30A 30B 30C 30D 30E 30F
