1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A XX 3 C 3 D 3 E 3 F 
4 A 4 B XX 4 D XX 4 F 
5 A XX 5 C 5 D 5 E 5 F 
6 A 6 B XX 6 D 6 E 6 F 
7 A 7 B XX 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E XX 
9 A XX 9 C 9 D XX 9 F 
10A 10B 10C 10D 10E 10F 
XX 11B 11C 11D 11E 11F 
XX 12B 12C 12D 12E 12F 
13A 13B XX 13D 13E 13F 
14A 14B 14C XX 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D 16E XX 
XX 17B 17C 17D 17E XX 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A 20B XX 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
22A 22B 22C XX 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A XX 25C XX 25E 25F 
XX 26B 26C 26D XX 26F 
27A 27B 27C 27D 27E XX 
28A 28B 28C 28D 28E XX 
29A 29B XX 29D 29E 29F 
30A 30B XX 30D 30E 30F 
