1 A 1 B 1 C 1 D 1 E XX 
2 A XX 2 C XX 2 E 2 F 
3 A XX 3 C XX 3 E 3 F 
4 A XX 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D XX 5 F 
6 A 6 B XX 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E XX 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E XX 
14A 14B 14C 14D 14E 14F 
XX 15B 15C 15D 15E 15F 
16A 16B XX XX XX 16F 
XX XX 17C 17D 17E 17F 
XX 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A XX 20C 20D 20E XX 
21A 21B 21C 21D 21E 21F 
22A 22B XX 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B XX 24D 24E 24F 
25A 25B XX 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C XX 27E 27F 
28A 28B 28C 28D 28E 28F 
XX 29B XX XX 29E XX 
30A 30B 30C 30D 30E 30F 
