1 A XX XX 1 D 1 E 1 F 
XX XX 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D XX 4 F 
5 A 5 B 5 C 5 D 5 E XX 
6 A 6 B 6 C 6 D XX 6 F 
7 A 7 B 7 C 7 D XX 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C XX 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B XX 13D 13E 13F 
XX 14B 14C 14D 14E 14F 
15A 15B XX 15D 15E 15F 
16A 16B XX 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A XX 19C 19D 19E 19F 
20A 20B 20C 20D XX 20F 
21A 21B 21C 21D 21E 21F 
22A XX 22C 22D 22E 22F 
23A XX 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E 26F 
27A XX 27C 27D XX XX 
28A 28B 28C 28D 28E 28F 
XX XX 29C 29D XX 29F 
30A XX XX 30D 30E 30F 
