1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E XX 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D XX 4 F 
XX XX 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A XX 9 C 9 D 9 E XX 
10A 10B 10C 10D 10E 10F 
XX XX 11C XX 11E 11F 
12A 12B 12C XX XX 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
15A 15B 15C 15D 15E XX 
16A 16B 16C 16D 16E XX 
17A 17B 17C 17D 17E XX 
18A 18B 18C XX 18E 18F 
19A 19B 19C 19D 19E 19F 
20A 20B 20C 20D XX 20F 
21A 21B 21C 21D 21E 21F 
XX XX 22C 22D 22E XX 
23A 23B 23C 23D 23E 23F 
24A XX 24C 24D XX 24F 
25A XX XX 25D XX 25F 
26A XX 26C 26D 26E 26F 
27A 27B 27C XX 27E 27F 
XX 28B 28C XX 28E XX 
29A XX 29C 29D 29E 29F 
30A 30B 30C XX 30E 30F 
