1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E XX
4A 4B XX 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B XX 6D 6E 6F
7A 7B 7C XX 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A XX 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E XX
13A 13B 13C 13D 13E 13F
14A 14B XX 14D 14E XX
XX 15B 15C 15D XX 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D XX 17F
XX 18B 18C 18D XX XX
19A XX 19C 19D XX 19F
20A 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
22A 22B 22C XX XX 22F
23A 23B 23C 23D XX 23F
24A 24B 24C 24D 24E 24F
25A 25B XX XX 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
28A XX 28C 28D XX 28F
29A 29B XX 29D 29E 29F
30A 30B 30C 30D 30E 30F
