1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
XX XX XX 3D 3E 3F
4A XX 4C 4D 4E 4F
5A 5B XX 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C XX 7E 7F
XX 8B 8C 8D 8E 8F
9A 9B 9C 9D XX 9F
10A 10B 10C XX 10E 10F
11A XX 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A XX 13C 13D 13E XX
14A 14B XX XX 14E 14F
15A 15B 15C 15D XX 15F
16A XX 16C XX 16E 16F
XX 17B 17C 17D 17E 17F
XX 18B 18C 18D 18E 18F
XX 19B 19C 19D 19E 19F
20A 20B 20C 20D XX 20F
XX 21B 21C XX 21E 21F
22A 22B 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
XX 24B 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B 26C XX 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B XX 28D XX XX
29A 29B 29C 29D 29E 29F
30A 30B 30C XX 30E XX
