1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
3A 3B XX 3D 3E 3F
4A 4B 4C XX 4E 4F
XX 5B 5C 5D XX 5F
6A 6B 6C XX 6E 6F
7A 7B 7C XX 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C XX 9E XX
10A 10B 10C 10D 10E 10F
11A XX 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B 13C 13D 13E XX
14A XX 14C 14D 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B XX XX 19E 19F
20A 20B XX 20D XX 20F
21A XX 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B XX 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A XX 27C 27D XX 27F
28A 28B 28C 28D XX XX
29A XX 29C 29D 29E 29F
30A 30B 30C XX XX 30F
