1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX XX
5A 5B XX 5D 5E 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D XX 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A XX 10C 10D XX XX
11A 11B 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D XX 14F
15A 15B 15C 15D 15E XX
16A 16B 16C XX 16E 16F
XX 17B 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E XX
20A 20B 20C 20D XX 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C XX XX 22F
23A 23B 23C 23D 23E XX
24A 24B 24C 24D 24E 24F
25A 25B XX XX 25E 25F
26A XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D XX 28F
29A XX XX 29D 29E 29F
30A 30B 30C 30D 30E XX
