1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E XX
4A 4B 4C XX XX 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C XX 12E 12F
13A 13B XX 13D 13E 13F
14A 14B 14C 14D 14E 14F
XX XX 15C 15D 15E 15F
16A 16B XX 16D 16E 16F
17A XX 17C 17D XX XX
18A 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C 22D XX 22F
23A 23B 23C XX 23E XX
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B XX 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A 29B XX 29D 29E 29F
30A 30B 30C XX XX 30F
