1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
XX 3B 3C 3D 3E 3F
4A 4B XX 4D 4E XX
5A 5B 5C 5D 5E 5F
6A XX 6C 6D 6E 6F
7A 7B 7C 7D XX 7F
8A 8B XX 8D 8E XX
9A 9B XX 9D 9E 9F
10A 10B 10C 10D 10E XX
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
14A 14B 14C 14D 14E XX
15A 15B 15C XX XX 15F
16A 16B 16C 16D XX 16F
17A 17B XX 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
20A 20B 20C 20D XX 20F
21A 21B 21C XX 21E 21F
XX 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
XX 27B 27C XX 27E 27F
28A XX 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E 30F
