1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B XX 4D XX 4F
5A 5B XX 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E XX
XX XX 9C XX XX 9F
10A 10B XX 10D XX 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D XX 12F
13A 13B 13C 13D 13E XX
14A 14B XX 14D 14E 14F
15A 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E 16F
17A 17B 17C XX 17E XX
18A XX 18C 18D 18E 18F
19A 19B 19C 19D XX 19F
20A XX 20C 20D 20E 20F
XX 21B 21C 21D 21E XX
22A 22B 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
XX 24B 24C XX 24E 24F
25A XX 25C XX 25E 25F
26A XX 26C 26D 26E 26F
27A XX XX 27D 27E 27F
28A 28B 28C 28D 28E XX
29A 29B 29C 29D XX XX
30A 30B 30C 30D 30E 30F
