1A 1B 1C 1D 1E 1F
2A XX 2C XX 2E 2F
3A 3B 3C XX 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E XX
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A XX 11C XX XX 11F
12A 12B 12C 12D 12E 12F
13A XX 13C XX 13E XX
14A 14B 14C 14D 14E XX
15A 15B XX XX XX 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
20A 20B XX 20D 20E 20F
XX 21B 21C 21D 21E 21F
XX XX 22C 22D 22E 22F
23A XX XX 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A XX 26C 26D 26E 26F
XX 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E XX
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E 30F
