1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A XX 3C XX XX 3F
4A 4B 4C 4D 4E XX
XX 5B 5C 5D 5E 5F
XX 6B 6C XX 6E 6F
7A 7B 7C 7D 7E XX
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C 10D XX 10F
11A 11B 11C 11D XX 11F
12A 12B XX XX 12E 12F
13A 13B 13C 13D 13E 13F
14A XX 14C 14D 14E XX
15A 15B 15C 15D XX 15F
XX 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
XX 20B 20C 20D 20E 20F
21A 21B XX 21D 21E 21F
22A XX 22C 22D 22E 22F
XX 23B XX 23D XX XX
XX XX 24C 24D XX 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C XX 26E 26F
27A XX 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
XX 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
