1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A XX 3C XX 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B XX 6D 6E 6F
7A XX 7C 7D 7E 7F
8A 8B XX XX 8E 8F
9A 9B 9C XX 9E XX
XX XX 10C 10D 10E 10F
11A 11B 11C XX XX 11F
XX 12B 12C 12D 12E 12F
XX 13B 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A XX 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B XX XX 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A XX 22C 22D 22E 22F
23A 23B 23C 23D XX 23F
24A 24B XX 24D XX 24F
25A 25B XX 25D 25E 25F
26A 26B 26C XX 26E 26F
27A 27B 27C 27D 27E XX
28A 28B 28C 28D XX 28F
29A XX 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
