1A 1B 1C 1D 1E 1F
XX 2B 2C XX 2E 2F
XX 3B 3C 3D XX 3F
4A 4B 4C 4D XX 4F
5A 5B 5C XX XX XX
6A 6B XX 6D 6E 6F
7A 7B 7C 7D 7E 7F
XX 8B 8C 8D 8E 8F
9A XX 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A XX 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D XX 14F
15A 15B XX 15D 15E 15F
XX 16B 16C 16D 16E XX
XX 17B 17C 17D XX 17F
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
XX 20B 20C 20D XX 20F
21A 21B XX 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D XX 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C XX 27E 27F
28A XX 28C 28D 28E 28F
29A XX 29C XX 29E 29F
30A 30B 30C XX 30E 30F
