1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
3A 3B XX 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B XX 5D 5E 5F
6A 6B 6C 6D XX 6F
XX 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C 12D XX 12F
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D XX XX
15A 15B XX 15D XX 15F
XX 16B 16C 16D 16E 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E XX
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
XX 22B XX 22D 22E XX
23A 23B XX 23D XX 23F
24A 24B 24C XX 24E XX
XX 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B XX 29D 29E 29F
30A 30B 30C 30D 30E 30F
