1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX 6C 6D 6E 6F
XX 7B XX XX 7E XX
XX 8B 8C 8D 8E 8F
9A 9B 9C XX 9E XX
10A 10B 10C 10D XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX XX 14C XX 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B XX 16D 16E 16F
XX XX XX 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C XX 21E XX
22A 22B 22C XX XX 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D XX 24F
25A XX 25C 25D 25E XX
26A XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
XX 29B 29C 29D 29E XX
30A 30B 30C 30D 30E 30F
